Sentence#;word;label
0;The;O
0;next;O
0;quality-control;O
0;meeting;O
0;will;O
0;be;O
0;held;O
0;Friday,;TIME
0;March;TIME
0;5;TIME
0;at;TIME
0;1:00;TIME
0;p.m.;TIME
0;in;O
0;the;LOC
0;conference;LOC
0;room;LOC
0;off;LOC
0;the;LOC
0;atrium.;LOC
1;The;O
1;“news”;O
1;is;O
1;that;O
1;the;O
1;quality-control;O
1;meeting;O
1;will;O
1;be;O
1;heading;O
1;in;O
1;a;O
1;new;O
1;direction.;O
2;I;O
2;will;O
2;meet;O
2;you;O
2;tomorrow;TIME
2;at;TIME
2;11am;TIME
2;at;O
2;the;LOC
2;bus;LOC
2;station;LOC
2;next;LOC
2;to;LOC
2;Tesco.;LOC
3;It;O
3;will;O
3;be;O
3;held;O
3;at;O
3;the;LOC
3;Multimedia;LOC
3;Art;LOC
3;Museum;LOC
3;from;TIME
3;2;TIME
3;to;TIME
3;29;TIME
3;July.;TIME
4;On;O
4;January;TIME
4;23;TIME
4;Belmont;O
4;University;O
4;hosted;O
4;a;O
4;Curb;O
4;Seminar;O
4;showing;O
4;of;O
4;“Ballad;O
4;of;O
4;the;O
4;Dreadnought,”;O
4;a;O
4;Martin;O
4;Guitars;O
4;documentary,;O
4;and;O
4;made;O
4;a;O
4;special;O
4;announcement;O
4;from;O
4;Martin;O
4;Guitars;O
4;for;O
4;songwriting;O
4;majors.;O
5;See;O
5;you;O
5;at;O
5;6;TIME
5;pm;TIME
5;then;O
6;The;O
6;meeting;O
6;will;O
6;take;O
6;place;O
6;on;O
6;the;TIME
6;5th;TIME
6;of;TIME
6;January,;TIME
6;starting;TIME
6;at;TIME
6;2;TIME
6;pm;TIME
6;and;TIME
6;finishing;TIME
6;at;TIME
6;4;TIME
6;pm.;TIME
6;Could;O
6;you;O
6;please;O
6;confirm;O
6;whether;O
6;you;O
6;will;O
6;be;O
6;able;O
6;to;O
6;participate?;O
7;I;O
7;am;O
7;very;O
7;glad;O
7;to;O
7;announce;O
7;that;O
7;next;TIME
7;Friday;TIME
7;the;TIME
7;27th;TIME
7;of;TIME
7;March;TIME
7;we;O
7;will;O
7;have;O
7;special;O
7;guests;O
7;with;O
7;us;O
7;who;O
7;will;O
7;present;O
7;their;O
7;best;O
7;practices;O
7;with;O
7;us.;O
8;Would;O
8;you;O
8;be;O
8;both;O
8;of;O
8;you;O
8;available;O
8;to;O
8;have;O
8;this;TIME
8;meeting;TIME
8;next;TIME
8;Tuesday;TIME
8;@;TIME
8;8;TIME
8;am;TIME
8;PST?;TIME
9;We;O
9;invite;O
9;you;O
9;to;O
9;an;O
9;interview;O
9;at;O
9;our;LOC
9;office;LOC
9;at;LOC
9;the;LOC
9;address:;LOC
9;34;LOC
9;Dark;LOC
9;Spurt,;LOC
9;London,;LOC
9;UK,;LOC
9;December;TIME
9;20;TIME
9;2020;TIME
9;at;TIME
9;11:00;TIME
9;We;O
9;ask;O
9;you;O
9;to;O
9;have;O
9;a;O
9;passport;O
9;with;O
9;you;O
9;to;O
9;issue;O
9;a;O
9;one-time;O
9;pass.;O
10;Mary’s;O
10;attorney;O
10;issues;O
10;a;O
10;subpoena;O
10;ad;O
10;testificandum;O
10;to;O
10;one;O
10;of;O
10;Mary’s;O
10;co-workers,;O
10;who;O
10;she;O
10;says;O
10;witnessed;O
10;her;O
10;supervisor’s;O
10;sexual;O
10;advances;O
10;on;O
10;more;O
10;than;O
10;one;O
10;occasion.;O
11;The;O
11;co-worker;O
11;is;O
11;required;O
11;to;O
11;attend;O
11;a;O
11;deposition;O
11;on;O
11;May;TIME
11;25th,;TIME
11;at;TIME
11;9:00;TIME
11;a.m.,;TIME
11;at;O
11;the;LOC
11;office;LOC
11;of;LOC
11;her;LOC
11;attorney;LOC
11;to;O
11;give;O
11;testimony.;O
12;In;O
12;ice;O
12;hockey,;O
12;the;O
12;Colorado;O
12;Avalanche;O
12;defeat;O
12;the;O
12;Tampa;O
12;Bay;O
12;Lightning;O
12;to;O
12;win;O
12;the;O
12;Stanley;O
12;Cup;O
12;(Conn;O
12;Smythe;O
12;Trophy;O
12;winner;O
12;Cale;O
12;Makar;O
12;pictured).;O
13;He;O
13;was;O
13;one;O
13;of;O
13;three;O
13;scientists;O
13;sent;O
13;to;O
13;the;LOC
13;Caribbean;LOC
13;in;O
13;1902;TIME
13;by;O
13;the;O
13;National;O
13;Geographic;O
13;Society;O
13;to;O
13;report;O
13;on;O
13;the;O
13;aftermath;O
13;of;O
13;the;O
13;Mount;O
13;Pelée;O
13;disaster.;O
14;There;O
14;was;O
14;the;O
14;free;O
14;press;O
14;in;O
14;Qatar,;O
14;Al;O
14;Jazeera,;O
14;but;O
14;its’;O
14;offices;O
14;in;O
14;Kabul;LOC
14;and;O
14;Baghdad;LOC
14;were;O
14;bombed;O
14;by;O
14;Americans;O
15;The;O
15;demonstration;O
15;and;O
15;analysis;O
15;of;O
15;the;O
15;main;O
15;mistakes;O
15;on;O
15;the;O
15;exam;O
15;in;O
15;the;O
15;discipline;O
15;"""Strategic";O
15;"Management""";O
15;will;O
15;take;O
15;place;O
15;tomorrow,;TIME
15;June;TIME
15;22;TIME
15;at;TIME
15;19.00,;TIME
15;in;O
15;Zoom.;LOC
16;Pick;O
16;me;O
16;up;O
16;at;O
16;8:00;TIME
16;at;O
16;Rachel's,;LOC
16;okay?;O
17;Between;TIME
17;July;TIME
17;6;TIME
17;and;TIME
17;October;TIME
17;5;TIME
17;2009;TIME
17;you;O
17;are;O
17;invited;O
17;to;O
17;participate;O
17;in;O
17;the;O
17;most;O
17;grandiose;O
17;drawing;O
17;organized;O
17;some;O
17;time;O
17;in;O
17;Moldova!;LOC
18;Tomorrow,;TIME
18;June;TIME
18;18;TIME
18;at;TIME
18;12:00;TIME
18;(GMT+3),;TIME
18;we;O
18;will;O
18;arrange;O
18;a;O
18;viewing;O
18;of;O
18;the;O
18;reports;O
18;of;O
18;Yandex;O
18;speakers;O
18;in;O
18;the;LOC
18;Special;LOC
18;Chat;LOC
18;virtual;LOC
18;space.;LOC
19;Already;O
19;this;TIME
19;Sunday,;TIME
19;May;TIME
19;15;TIME
19;at;TIME
19;23:59:59;TIME
19;Moscow;TIME
19;time,;TIME
19;decision-making;O
19;will;O
19;end.;O
20;Thank;O
20;you;O
20;for;O
20;registering;O
20;for;O
20;webinar;O
20;with;O
20;Kate;O
20;Krol.;O
21;You;O
21;can;O
21;find;O
21;information;O
21;about;O
21;this;O
21;webinar;O
21;below.;O
22;Date;O
22;&;O
22;Time:;O
22;Apr;TIME
22;9;TIME
22;2022;TIME
22;11:00;TIME
22;AM;TIME
22;Moscow,;TIME
22;Webinar;O
22;ID:;O
22;899;O
22;3143;O
22;5877;O
23;Sorry,;O
23;I'm;O
23;going;O
23;to;O
23;be;O
23;late.;O
24;More;O
24;than;O
24;100;O
24;meetings;O
24;with;O
24;elected;O
24;officials;O
24;were;O
24;held;O
24;on;O
24;the;TIME
24;second;TIME
24;day,;TIME
24;touching;O
24;on;O
24;issues;O
24;such;O
24;as;O
24;online-booking;O
24;scams,;O
24;safety;O
24;and;O
24;security,;O
24;travel;O
24;facilitation;O
24;and;O
24;investment;O
24;in;O
24;infrastructure.;O
25;The;O
25;event;O
25;originated;O
25;on;O
25;June;TIME
25;22;TIME
25;1986;TIME
25;on;O
25;Baker;LOC
25;Beach;LOC
25;in;LOC
25;San;LOC
25;Francisco;LOC
25;as;O
25;a;O
25;small;O
25;function;O
25;organized;O
25;by;O
25;Larry;O
25;Harvey;O
25;and;O
25;Jerry;O
25;James,;O
25;the;O
25;builders;O
25;of;O
25;the;O
25;first;O
25;Man.;O
26;For;O
26;the;O
26;first;O
26;time;O
26;since;O
26;2019;O
26;Comic-Con;O
26;returns;O
26;to;O
26;the;O
26;San;LOC
26;Diego;LOC
26;Convention;LOC
26;Center;LOC
26;on;O
26;July;TIME
26;21;TIME
26;-;TIME
26;24;TIME
26;2022!;TIME
27;Prime;O
27;Minister;O
27;Boris;O
27;Johnson;O
27;met;O
27;French;O
27;President;O
27;Macron;O
27;at;O
27;the;LOC
27;G7;LOC
27;Summit;LOC
27;in;LOC
27;Germany;LOC
27;today.;TIME
28;The;O
28;day;O
28;marks;O
28;the;O
28;date;O
28;in;O
28;history;O
28;when;O
28;the;O
28;first;O
28;pride;O
28;march;O
28;was;O
28;held;O
28;in;O
28;New;LOC
28;York;LOC
28;City;LOC
28;in;O
28;1970.;TIME
29;They;O
29;met;O
29;Truman;O
29;at;O
29;the;LOC
29;Canadian;LOC
29;Embassy;LOC
29;in;LOC
29;Washington;LOC
29;DC;LOC
29;on;O
29;November;TIME
29;1;TIME
29;1951;TIME
29;where;O
29;they;O
29;hosted;O
29;him;O
29;for;O
29;dinner.;O
30;An;O
30;1874;TIME
30;speaking;O
30;event;O
30;in;O
30;Manchester;LOC
30;organised;O
30;by;O
30;Becker,;O
30;was;O
30;attended;O
30;by;O
30;14-year-old;O
30;Emmeline;O
30;Goulden,;O
30;who;O
30;was;O
30;to;O
30;become;O
30;an;O
30;ardent;O
30;campaigner;O
30;for;O
30;women's;O
30;rights,;O
30;and;O
30;later;O
30;married;O
30;Dr;O
30;Pankhurst;O
30;becoming;O
30;known;O
30;as;O
30;Emmeline;O
30;Pankhurst.;O
31;The;O
31;Liverpool;O
31;Dockers';O
31;dispute;O
31;was;O
31;a;O
31;lengthy;O
31;dispute;O
31;between;O
31;dockers,;O
31;their;O
31;employers;O
31;Mersey;O
31;Docks;O
31;and;O
31;Harbour;O
31;Company;O
31;(MDHC);O
31;and;O
31;Torside;O
31;Ltd,;O
31;which;O
31;lasted;O
31;for;O
31;twenty-eight;TIME
31;months;TIME
31;between;TIME
31;1995;TIME
31;and;TIME
31;1998;TIME
31;in;O
31;Liverpool,;LOC
31;England.;LOC
32;A;O
32;State;O
32;Opening;O
32;of;O
32;Parliament;O
32;took;O
32;place;O
32;on;O
32;11;TIME
32;May;TIME
32;2021;TIME
33;The;O
33;engagement;O
33;ceremony;O
33;will;O
33;take;O
33;place;O
33;at;O
33;Bilawal;LOC
33;House;LOC
33;in;LOC
33;Karachi;LOC
33;and;LOC
33;Mehndi;LOC
33;is;O
33;also;O
33;scheduled;O
33;at;O
33;the;O
33;same;O
33;place;O
33;on;O
33;January;TIME
33;27.;TIME
34;And;O
34;just;O
34;to;O
34;confirm,;O
34;the;O
34;ceremony;O
34;will;O
34;take;O
34;place;O
34;in;O
34;Hebron;LOC
34;at;O
34;3pm.;TIME
35;The;O
35;burial;O
35;ceremony;O
35;will;O
35;take;O
35;place;O
35;at;O
35;7:00;TIME
35;local;TIME
35;time;TIME
35;(12:00;TIME
35;p.m.;TIME
35;GMT);TIME
35;on;TIME
35;December;TIME
35;4;TIME
35;at;O
35;the;LOC
35;cemetery;LOC
35;of;LOC
